# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
634.0000 M18 10000 1 94.0000 P144 W174 298 N P144->W174
1332.0000 M39 10000 5 162.0000 W172 W189 297 N W172->W157->P48->P57->P87->W189
1954.0000 M14 10000 12 1534.0000 P16 P96 274 N P16->P97->P129->P38->P93->P8->P40->P133->P7->P130->P50->P19->P96
4024.0000 M16 10000 33 3544.0000 P141 P80 240 N P141->P68->P63->P47->P105->P98->P124->P126->P117->P92->P87->P44->P108->P14->P29->P121->P57->P65->P8->P79->P73->P74->P12->P101->P146->P88->P130->W179->W198->W186->W166->W185->P21->P80
4057.0000 M114 10000 9 637.0000 P39 P62 289 N P39->W151->W176->W191->P122->P17->P111->P64->P45->P62
4846.0000 M130 10000 24 946.0000 P135 P100 284 N P135->P35->P42->P112->P72->P30->P5->P120->P21->P142->P137->P109->P141->P77->P14->P52->P133->P103->P106->P27->P46->P65->P139->P126->P100
5507.0000 M146 10000 6 1127.0000 P122 W177 281 N P122->P57->W167->W190->W164->W182->W177
5684.0000 M19 10000 36 5114.0000 P31 P56 214 N P31->W194->W190->W162->W187->W173->P49->P61->P71->W151->W188->P89->W178->W177->W180->W193->W185->W153->W170->W179->W175->W154->W182->W174->W184->W168->W186->W160->W189->W152->W158->W171->W191->W198->W163->P26->P56
5896.0000 M57 10000 38 4186.0000 P83 P36 230 N P83->P127->P132->W169->W195->W152->W192->P137->P3->P103->W185->W179->W164->W175->W198->W170->W156->W197->P14->P99->P133->P5->P106->P42->P65->P18->P139->P100->P25->P114->P146->P4->P27->P59->P134->P74->P92->P135->P36
5949.0000 M97 10000 23 3039.0000 W188 W185 249 N W188->W176->W151->W189->W171->W169->W196->W182->W155->W161->P97->P87->P79->P28->W187->W198->W152->W162->W163->W154->W174->W164->W165->W185
5963.0000 M128 10000 11 2123.0000 P146 W164 264 N P146->W177->P130->P23->W198->W161->P63->P61->P37->P73->W174->W164
